dummy,SMILES_rad,BDE kJ
OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,505.302019
OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,508.531143
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,519.789654
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,522.647705
OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,512.676106
OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,514.120922
OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,499.720135
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,506.044165
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,521.400268
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,514.844646
OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OC[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,521.287104
OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,516.571056
OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,500.988625
